metric,policy,run,table,source_log,line,avg,avg_speed,completed,completed_at,count,delivery,distance,dynamic_environment,experiment_label,experiment_mode,first_period,hybrid_distance_weight,hybrid_wait_weight,map_id,max_completed,max_period,max_sim_time,min_period,pending_wait,rate,repeat,requested_at,return,seed,stop_at,stop_delay,time,total,wait
total_time,FIFO,FIFO-3,T4,FIFO-3.log,728,,,,304.83,8,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,212.70,,1003,,5,,92.13s,
return_time,FIFO,3,T4,FIFO-3.log,760,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,16.29s,1003,,5,,,
success_rate,FIFO,3,,FIFO-3.log,761,,,8,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,8,
mission,FIFO,3,,FIFO-3.log,762,,0.025,,,,,0.839,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,33.73s,,
wait_time,FIFO,3,T2,FIFO-3.log,773,50.55s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,77.60s
delivery_time,FIFO,3,T2,FIFO-3.log,774,,,,,,0.03s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,FIFO,FIFO-3,T2,FIFO-3.log,782,,,,323.17,9,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,243.52,,1003,,5,,79.65s,
return_time,FIFO,3,T2,FIFO-3.log,789,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,0.03s,1003,,5,,,
success_rate,FIFO,3,,FIFO-3.log,790,,,9,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,9,
mission,FIFO,3,,FIFO-3.log,791,,0.000,,,,,0.000,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,2.08s,,
wait_time,FIFO,3,T6,FIFO-3.log,897,54.35s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,88.54s
delivery_time,FIFO,3,T6,FIFO-3.log,898,,,,,,40.35s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,FIFO,FIFO-3,T6,FIFO-3.log,906,,,,365.57,10,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,274.98,,1003,,5,,90.59s,
pending_wait,FIFO,FIFO-3,T1,FIFO-3.log,908,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,60.19s,,3,305.38,,1003,365.57,5,,,
pending_wait,FIFO,FIFO-3,T2,FIFO-3.log,909,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,31.97s,,3,333.60,,1003,365.57,5,,,
pending_wait,FIFO,FIFO-3,T4,FIFO-3.log,910,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,5.54s,,3,360.03,,1003,365.57,5,,,
wait_time,HYBRID,7,T1,HYBRID-1.log,34,2.40s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,2.40s
delivery_time,HYBRID,7,T1,HYBRID-1.log,35,,,,,,2.37s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,HYBRID,HYBRID-1,T1,HYBRID-1.log,43,,,,9.47,1,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,5.02,,1001,,5,,4.45s,
return_time,HYBRID,7,T1,HYBRID-1.log,54,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,3.68s,1001,,5,,,
success_rate,HYBRID,7,,HYBRID-1.log,55,,,1,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,1,
mission,HYBRID,7,,HYBRID-1.log,56,,0.015,,,,,0.122,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,8.06s,,
wait_time,HYBRID,7,T2,HYBRID-1.log,94,2.43s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,2.46s
delivery_time,HYBRID,7,T2,HYBRID-1.log,95,,,,,,2.43s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,HYBRID,HYBRID-1,T2,HYBRID-1.log,103,,,,42.14,2,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,37.63,,1001,,5,,4.51s,
return_time,HYBRID,7,T2,HYBRID-1.log,110,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,0.03s,1001,,5,,,
success_rate,HYBRID,7,,HYBRID-1.log,111,,,2,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,2,
mission,HYBRID,7,,HYBRID-1.log,112,,0.013,,,,,0.056,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,4.48s,,
wait_time,HYBRID,7,T1,HYBRID-1.log,155,2.44s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,2.46s
delivery_time,HYBRID,7,T1,HYBRID-1.log,156,,,,,,2.43s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,HYBRID,HYBRID-1,T1,HYBRID-1.log,164,,,,75.78,3,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,71.26,,1001,,5,,4.51s,
return_time,HYBRID,7,T1,HYBRID-1.log,174,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,2.85s,1001,,5,,,
success_rate,HYBRID,7,,HYBRID-1.log,175,,,3,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,3,
mission,HYBRID,7,,HYBRID-1.log,176,,0.008,,,,,0.058,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,7.30s,,
wait_time,HYBRID,7,T4,HYBRID-1.log,232,5.62s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,15.14s
delivery_time,HYBRID,7,T4,HYBRID-1.log,233,,,,,,15.10s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,HYBRID,HYBRID-1,T4,HYBRID-1.log,241,,,,119.01,4,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,101.82,,1001,,5,,17.18s,
return_time,HYBRID,7,T4,HYBRID-1.log,274,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,16.19s,1001,,5,,,
success_rate,HYBRID,7,,HYBRID-1.log,275,,,4,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,4,
mission,HYBRID,7,,HYBRID-1.log,276,,0.026,,,,,0.860,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,33.31s,,
wait_time,HYBRID,7,T4,HYBRID-1.log,309,7.69s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,16.00s
delivery_time,HYBRID,7,T4,HYBRID-1.log,310,,,,,,15.52s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,HYBRID,HYBRID-1,T4,HYBRID-1.log,318,,,,152.74,5,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,134.69,,1001,,5,,18.05s,
return_time,HYBRID,7,T4,HYBRID-1.log,351,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,16.51s,1001,,5,,,
success_rate,HYBRID,7,,HYBRID-1.log,352,,,5,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,5,
mission,HYBRID,7,,HYBRID-1.log,353,,0.025,,,,,0.842,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,34.05s,,
wait_time,HYBRID,7,T5,HYBRID-1.log,386,9.32s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,17.47s
delivery_time,HYBRID,7,T5,HYBRID-1.log,387,,,,,,15.17s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,HYBRID,HYBRID-1,T5,HYBRID-1.log,395,,,,186.43,6,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,166.91,,1001,,5,,19.52s,
return_time,HYBRID,7,T5,HYBRID-1.log,427,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,15.33s,1001,,5,,,
success_rate,HYBRID,7,,HYBRID-1.log,428,,,6,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,6,
mission,HYBRID,7,,HYBRID-1.log,429,,0.026,,,,,0.848,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,32.51s,,
wait_time,HYBRID,7,T4,HYBRID-1.log,462,10.66s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,18.66s
delivery_time,HYBRID,7,T4,HYBRID-1.log,463,,,,,,15.36s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,HYBRID,HYBRID-1,T4,HYBRID-1.log,471,,,,219.14,7,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,198.43,,1001,,5,,20.70s,
return_time,HYBRID,7,T4,HYBRID-1.log,504,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,16.42s,1001,,5,,,
success_rate,HYBRID,7,,HYBRID-1.log,505,,,7,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,7,
mission,HYBRID,7,,HYBRID-1.log,506,,0.025,,,,,0.842,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,33.79s,,
wait_time,HYBRID,7,T2,HYBRID-1.log,517,9.86s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,4.29s
delivery_time,HYBRID,7,T2,HYBRID-1.log,518,,,,,,0.03s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,HYBRID,HYBRID-1,T2,HYBRID-1.log,524,,,,237.60,8,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,231.26,,1001,,5,,6.34s,
return_time,HYBRID,7,T2,HYBRID-1.log,533,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,0.03s,1001,,5,,,
success_rate,HYBRID,7,,HYBRID-1.log,534,,,8,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,8,
mission,HYBRID,7,,HYBRID-1.log,535,,0.000,,,,,0.000,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,2.08s,,
wait_time,HYBRID,7,T1,HYBRID-1.log,576,9.34s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,5.15s
delivery_time,HYBRID,7,T1,HYBRID-1.log,577,,,,,,5.12s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,HYBRID,HYBRID-1,T1,HYBRID-1.log,585,,,,269.57,9,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,262.37,,1001,,5,,7.20s,
return_time,HYBRID,7,T1,HYBRID-1.log,597,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,5.25s,1001,,5,,,
success_rate,HYBRID,7,,HYBRID-1.log,598,,,9,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,9,
mission,HYBRID,7,,HYBRID-1.log,599,,0.016,,,,,0.202,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,12.38s,,
wait_time,HYBRID,7,T6,HYBRID-1.log,688,11.85s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,34.43s
delivery_time,HYBRID,7,T6,HYBRID-1.log,689,,,,,,34.40s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,HYBRID,HYBRID-1,T6,HYBRID-1.log,695,,,,324.16,10,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,1,287.68,,1001,,5,,36.48s,
pending_wait,HYBRID,HYBRID-1,T4,HYBRID-1.log,697,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,4.00s,,1,320.16,,1001,324.16,5,,,
wait_time,HYBRID,8,T5,HYBRID-2.log,54,16.03s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,16.03s
delivery_time,HYBRID,8,T5,HYBRID-2.log,55,,,,,,16.00s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,HYBRID,HYBRID-2,T5,HYBRID-2.log,63,,,,23.10,1,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,5.02,,1002,,5,,18.08s,
return_time,HYBRID,8,T5,HYBRID-2.log,95,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,15.26s,1002,,5,,,
success_rate,HYBRID,8,,HYBRID-2.log,96,,,1,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,1,
mission,HYBRID,8,,HYBRID-2.log,97,,0.027,,,,,0.914,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,33.28s,,
wait_time,HYBRID,8,T2,HYBRID-2.log,108,9.20s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,2.37s
delivery_time,HYBRID,8,T2,HYBRID-2.log,109,,,,,,0.03s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,HYBRID,HYBRID-2,T2,HYBRID-2.log,117,,,,40.42,2,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,36.00,,1002,,5,,4.42s,
return_time,HYBRID,8,T2,HYBRID-2.log,124,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,0.03s,1002,,5,,,
success_rate,HYBRID,8,,HYBRID-2.log,125,,,2,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,2,
mission,HYBRID,8,,HYBRID-2.log,126,,0.000,,,,,0.000,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,2.08s,,
wait_time,HYBRID,8,T3,HYBRID-2.log,200,15.04s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,26.72s
delivery_time,HYBRID,8,T3,HYBRID-2.log,201,,,,,,26.69s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,HYBRID,HYBRID-2,T3,HYBRID-2.log,209,,,,91.23,3,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,62.46,,1002,,5,,28.77s,
return_time,HYBRID,8,T3,HYBRID-2.log,259,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,26.94s,1002,,5,,,
success_rate,HYBRID,8,,HYBRID-2.log,260,,,3,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,3,
mission,HYBRID,8,,HYBRID-2.log,261,,0.026,,,,,1.455,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,55.65s,,
wait_time,HYBRID,8,T6,HYBRID-2.log,367,27.82s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,66.18s
delivery_time,HYBRID,8,T6,HYBRID-2.log,368,,,,,,40.35s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,HYBRID,HYBRID-2,T6,HYBRID-2.log,376,,,,160.54,4,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,92.32,,1002,,5,,68.22s,
return_time,HYBRID,8,T6,HYBRID-2.log,449,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,36.19s,1002,,5,,,
success_rate,HYBRID,8,,HYBRID-2.log,450,,,4,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,4,
mission,HYBRID,8,,HYBRID-2.log,451,,0.024,,,,,1.868,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,78.56s,,
wait_time,HYBRID,8,T1,HYBRID-2.log,467,38.00s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,78.72s
delivery_time,HYBRID,8,T1,HYBRID-2.log,468,,,,,,5.18s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,HYBRID,HYBRID-2,T1,HYBRID-2.log,476,,,,203.94,5,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,123.17,,1002,,5,,80.77s,
return_time,HYBRID,8,T1,HYBRID-2.log,488,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,5.28s,1002,,5,,,
success_rate,HYBRID,8,,HYBRID-2.log,489,,,5,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,5,
mission,HYBRID,8,,HYBRID-2.log,490,,0.016,,,,,0.205,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,12.48s,,
wait_time,HYBRID,8,T5,HYBRID-2.log,526,43.21s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,69.25s
delivery_time,HYBRID,8,T5,HYBRID-2.log,527,,,,,,15.33s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,HYBRID,HYBRID-2,T5,HYBRID-2.log,535,,,,226.56,6,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,155.26,,1002,,5,,71.30s,
return_time,HYBRID,8,T5,HYBRID-2.log,564,,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,15.20s,1002,,5,,,
success_rate,HYBRID,8,,HYBRID-2.log,565,,,6,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,6,
mission,HYBRID,8,,HYBRID-2.log,566,,0.026,,,,,0.849,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,32.54s,,
wait_time,HYBRID,8,T3,HYBRID-2.log,654,49.74s,,,,,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,88.90s
delivery_time,HYBRID,8,T3,HYBRID-2.log,655,,,,,,32.54s,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,HYBRID,HYBRID-2,T3,HYBRID-2.log,666,,,,276.32,7,,,false,HYBRID,EXP1,5,30,1,map2,10,35,420,25,,,2,185.38,,1002,,5,,90.94s,
