simulation_id,experiment,dynamic_environment,policy,last_table,total_requests,completed_requests,success_rate,mission_time,distance,avg_speed,collisions,avg_wait,avg_delivery,avg_return
9,EXP1,True,NEAREST,T1,6,6,1.0,23.519999999999996,0.41923711619387993,0.01782470732116837,33,18.346666666666668,6.565333333333332,13.328000000000003
9,EXP1,True,NEAREST,T2,7,7,1.0,9.984000000000009,0.10606353816184554,0.010623351178069455,33,18.134857142857143,6.207999999999998,11.981714285714288
9,EXP1,True,NEAREST,T2,8,8,1.0,12.608000000000004,0.10198478553553841,0.008088894791841559,36,16.792,6.251999999999999,10.988000000000003
9,EXP1,True,NEAREST,T1,9,9,1.0,22.399999999999977,0.41801167187750715,0.018661235351674445,42,19.232,6.855111111111108,10.734222222222222
9,EXP1,True,NEAREST,T2,10,10,1.0,9.888000000000005,0.10445316014463583,0.010563628655404105,42,19.798399999999997,6.569599999999997,10.047999999999998
10,EXP1,True,NEAREST,T6,1,1,1.0,31.904,1.2449325875889854,0.03902120698310511,1,14.047999999999998,14.015999999999998,15.872
10,EXP1,True,NEAREST,T2,2,2,1.0,12.735999999999997,0.22353564543634422,0.017551479698205422,3,15.727999999999998,9.343999999999998,10.959999999999997
10,EXP1,True,NEAREST,T4,3,3,1.0,30.75200000000001,0.6359814031562959,0.02068097694967143,14,24.78933333333333,8.479999999999999,14.634666666666668
10,EXP1,True,NEAREST,T2,4,4,1.0,13.11999999999999,0.2411703600199989,0.01838188719664627,15,25.791999999999998,7.927999999999997,12.184
10,EXP1,True,NEAREST,T1,5,5,1.0,14.112000000000009,0.3237333502331109,0.022940288423548092,15,33.8624,7.430399999999997,11.0784
10,EXP1,True,NEAREST,T4,6,6,1.0,24.256,0.5614297966138249,0.023146017340609535,21,35.04533333333333,7.258666666666663,11.872
10,EXP1,True,NEAREST,T4,7,7,1.0,31.71199999999999,0.5513467412116326,0.01738606020470588,32,31.972571428571428,7.273142857142852,13.36685714285714
10,EXP1,True,NEAREST,T2,8,8,1.0,12.256,0.2682572858708106,0.021887833377187547,33,32.211999999999996,7.035999999999996,12.303999999999998
10,EXP1,True,NEAREST,T2,9,9,1.0,9.024000000000001,0.11705012421997017,0.012970980077567616,34,29.034666666666663,6.652444444444441,11.317333333333332
11,EXP2,False,NEAREST,T3,1,1,1.0,94.816,1.8485776599999992,0.019496473801889968,23,24.512,24.48,68.32
11,EXP2,False,NEAREST,T2,2,2,1.0,11.808000000000007,0.18512812000000012,0.015678194444444446,23,55.48800000000001,14.848000000000004,36.448
11,EXP2,False,NEAREST,T4,3,3,1.0,15.903999999999996,0.3443151300000006,0.02164959318410467,24,66.37866666666667,11.872000000000005,26.954666666666668
11,EXP2,False,NEAREST,T2,4,4,1.0,19.551999999999992,0.30569313000000287,0.015634877761865947,27,54.464000000000006,10.944000000000003,22.560000000000002
11,EXP2,False,NEAREST,T2,5,5,1.0,19.424000000000007,0.27215636000000015,0.014011344728171338,28,45.92,10.246400000000005,20.038400000000003
11,EXP2,False,NEAREST,T4,6,6,1.0,24.063999999999993,0.40617469999999983,0.016878935339095742,28,45.51466666666667,9.91466666666667,18.997333333333334
11,EXP2,False,NEAREST,T2,7,7,1.0,13.024000000000001,0.19999758999999967,0.015356080313267786,28,43.145142857142865,9.43085714285715,16.92342857142857
11,EXP2,False,NEAREST,T4,8,8,1.0,18.976,0.39993081000000424,0.02107561182546397,31,41.480000000000004,8.980000000000008,16.2
11,EXP2,False,NEAREST,T2,9,9,1.0,15.04000000000002,0.25509831000000155,0.01696132380319157,32,39.49866666666667,8.85333333333334,14.975999999999999
11,EXP2,False,NEAREST,T2,10,10,1.0,22.271999999999963,0.3128382000000077,0.014046255387931405,39,37.21600000000001,9.497600000000006,13.974399999999997
12,EXP2,False,NEAREST,T2,1,1,1.0,12.768,0.19246630000000003,0.015074114974937346,0,6.048000000000001,6.016000000000001,4.736000000000001
12,EXP2,False,NEAREST,T4,2,2,1.0,17.856000000000005,0.3699987600000001,0.02072125672043011,0,7.440000000000001,7.408000000000001,5.888000000000002
12,EXP2,False,NEAREST,T5,3,3,1.0,29.855999999999995,0.5756609100000007,0.019281246985530576,1,12.0,8.693333333333333,9.450666666666669
12,EXP2,False,NEAREST,T2,4,4,1.0,17.888000000000005,0.30981281000000044,0.017319589110017908,1,12.144000000000002,8.992,8.584000000000003
12,EXP2,False,NEAREST,T4,5,5,1.0,26.976,0.45612581999999946,0.016908578736654786,1,21.971200000000003,10.7136,8.339200000000002
12,EXP2,False,NEAREST,T2,6,6,1.0,12.191999999999993,0.18699485000000007,0.015337504101049884,1,21.09866666666667,9.696,7.877333333333335
12,EXP2,False,NEAREST,T4,7,7,1.0,23.104,0.4060459600000011,0.01757470394736847,2,22.336000000000002,10.358857142857143,7.716571428571427
12,EXP2,False,NEAREST,T2,8,8,1.0,16.32000000000002,0.22046725000000558,0.013509022671568952,7,22.04,9.96,7.644000000000002
12,EXP2,False,NEAREST,T4,9,9,1.0,17.439999999999998,0.37032061000000027,0.02123397993119268,7,22.35733333333333,9.73511111111111,7.626666666666669
12,EXP2,False,NEAREST,T2,10,10,1.0,13.47199999999998,0.25857429000000026,0.0191934597684086,7,22.3808,9.420799999999996,7.350400000000002
13,EXP2,False,NEAREST,T5,1,1,1.0,20.416,0.5203027099999998,0.025485046532131652,0,8.928,8.896,9.504000000000001
13,EXP2,False,NEAREST,T2,2,2,1.0,22.208,0.3168291400000006,0.0142664418227666,3,15.152,10.783999999999999,8.511999999999999
13,EXP2,False,NEAREST,T1,3,3,1.0,67.03999999999999,1.1687017200000132,0.017432901551312847,18,29.066666666666663,23.135999999999996,11.402666666666667
